Team,3-Letters
Watford,WAT
Burnley,BUR
Norwich City,NOR
Sheffield United,SHU
Middlesbrough,MID
West Bromwich Albion,WBA
Blackburn Rovers,BLA
Queens Park Rangers,QPR
Millwall,MIL
Stoke City,STK
Hull City,HUL
Coventry City,COV
Luton Town,LUT
Preston North End,PNE
Swansea City,SWA
Reading,REA
Cardiff City,CAR
Huddersfield Town,HUD
Bristol City,BRC
Blackpool,BFC
Birmingham City,BIR
Rotherham United,ROT
Wigan Athletic,WIG
Sunderland,SUN
Arsenal,ARS
Aston Villa,AVL
Bournemouth,BOU
Manchester City,MCI
Manchester United,MUN
Liverpool,LIV
Everton,EVE
Brentford,BRE
Leeds United,LEE
Crystal Palace,CRY
Fulham,FUL
Nottingham Forest,NFO
Leicester City,LEI
Tottenham,TOT
Chelsea,CHE
Southampton,SOU
West Ham United,WHU
Brighton,BHA
Newcastle United,NEW
Wolves,WOL
